feature_set,model,fold,metric,score
engagement_early,random_forest,2,precision,0.6072432094911021
engagement_early,random_forest,2,recall,0.6321091972700682
engagement_early,random_forest,2,f1,0.6194267515923567
engagement_early,random_forest,3,accuracy,0.6598649892605094
engagement_early,random_forest,3,precision,0.6359898798228969
engagement_early,random_forest,3,recall,0.6535586610334742
engagement_early,random_forest,3,f1,0.6446545920820644
engagement_early,random_forest,4,accuracy,0.6455968088370666
engagement_early,random_forest,4,precision,0.617674133169684
engagement_early,random_forest,4,recall,0.6542086447838804
engagement_early,random_forest,4,f1,0.6354166666666666
engagement_mid,logistic_regression,0,accuracy,0.8186838472158307
engagement_mid,logistic_regression,0,precision,0.7575428105463441
engagement_mid,logistic_regression,0,recall,0.9057523561910952
engagement_mid,logistic_regression,0,f1,0.8250444049733571
engagement_mid,logistic_regression,1,accuracy,0.8130081300813008
engagement_mid,logistic_regression,1,precision,0.7504043126684636
engagement_mid,logistic_regression,1,recall,0.9047773805654858
engagement_mid,logistic_regression,1,f1,0.820391925740386
engagement_mid,logistic_regression,2,accuracy,0.8130081300813008
engagement_mid,logistic_regression,2,precision,0.7514889009204114
engagement_mid,logistic_regression,2,recall,0.9021774455638609
engagement_mid,logistic_regression,2,f1,0.8199675084920987
engagement_mid,logistic_regression,3,accuracy,0.8241791960724149
engagement_mid,logistic_regression,3,precision,0.7678224687933426
engagement_mid,logistic_regression,3,recall,0.8995775105622359
engagement_mid,logistic_regression,3,f1,0.8284944627357079
engagement_mid,logistic_regression,4,accuracy,0.8115986498926051
engagement_mid,logistic_regression,4,precision,0.7484547164740661
engagement_mid,logistic_regression,4,recall,0.905102372440689
engagement_mid,logistic_regression,4,f1,0.8193586348926155
engagement_mid,decision_tree,0,accuracy,0.7404509894155545
engagement_mid,decision_tree,0,precision,0.7338736913204998
engagement_mid,decision_tree,0,recall,0.7062073448163796
engagement_mid,decision_tree,0,f1,0.7197747598542564
engagement_mid,decision_tree,1,accuracy,0.7504218438410799
engagement_mid,decision_tree,1,precision,0.7400662251655629
engagement_mid,decision_tree,1,recall,0.726356841078973
engagement_mid,decision_tree,1,f1,0.73314744956536
engagement_mid,decision_tree,2,accuracy,0.7441325356649793
engagement_mid,decision_tree,2,precision,0.7333554157005631
engagement_mid,decision_tree,2,recall,0.7195320116997075
engagement_mid,decision_tree,2,f1,0.7263779527559056
engagement_mid,decision_tree,3,accuracy,0.7543725069039583
engagement_mid,decision_tree,3,precision,0.7442091330244871
engagement_mid,decision_tree,3,recall,0.7309067273318167
engagement_mid,decision_tree,3,f1,0.7374979504836858
engagement_mid,decision_tree,4,accuracy,0.750536974532065
engagement_mid,decision_tree,4,precision,0.7368592882794646
engagement_mid,decision_tree,4,recall,0.7335066623334416
engagement_mid,decision_tree,4,f1,0.7351791530944626
engagement_mid,random_forest,0,accuracy,0.8140819144040498
engagement_mid,random_forest,0,precision,0.7589558455984449
engagement_mid,random_forest,0,recall,0.8882027949301268
engagement_mid,random_forest,0,f1,0.8185085354896675
engagement_mid,random_forest,1,accuracy,0.8067188219052002
engagement_mid,random_forest,1,precision,0.7521509852900361
engagement_mid,random_forest,1,recall,0.880727981800455
engagement_mid,random_forest,1,f1,0.811377245508982
engagement_mid,random_forest,2,accuracy,0.8067188219052002
engagement_mid,random_forest,2,precision,0.7514530860780515
engagement_mid,random_forest,2,recall,0.8823529411764706
engagement_mid,random_forest,2,f1,0.8116591928251121
engagement_mid,random_forest,3,accuracy,0.8126725989567352
engagement_mid,random_forest,3,precision,0.7609673790776152
engagement_mid,random_forest,3,recall,0.8794280142996425
engagement_mid,random_forest,3,f1,0.8159203980099502
engagement_mid,random_forest,4,accuracy,0.8080699601104633
engagement_mid,random_forest,4,precision,0.7508241758241758
engagement_mid,random_forest,4,recall,0.8882027949301268
engagement_mid,random_forest,4,f1,0.8137561411344351
